49.235.122.134,vulnerable,CN,20,47,TencentCloud,CN,,,FALSE,,,,,
193.112.153.170,vulnerable,CN,15,47,TENCENT-CN,CN,,,FALSE,,,,,
58.87.73.250,vulnerable,CN,21,46,TencentCloud,CN,,[u'CVE-2019-0708'],TRUE,,,,,
193.112.193.132,vulnerable,CN,16,46,TENCENT-CN,CN,,,FALSE,,,,,
140.143.47.218,vulnerable,CN,22,45,TencentCloud,CN,,,FALSE,,,,,
118.24.116.235,vulnerable,CN,17,45,TENCENT-CN,CN,,,FALSE,,,,,
49.232.33.115,vulnerable,CN,23,44,TencentCloud,CN,,,FALSE,,,,,
148.70.238.84,vulnerable,CN,18,44,TENCENT-CN,CN,,,FALSE,,,,,
106.54.15.112,vulnerable,CN,24,43,TencentCloud,CN,,,FALSE,,,,,
106.52.110.84,offline,CN,24,43,TencentCloud,CN,,,FALSE,,,,,
132.232.157.66,vulnerable,CN,19,43,TENCENT-CN,CN,,,FALSE,,,,,
139.199.219.196,vulnerable,CN,25,42,TencentCloud,,,,FALSE,,,,,
62.234.80.218,vulnerable,CN,20,42,TENCENT-CN,CN,,,FALSE,,,,,
132.232.60.160,patched,CN,20,42,TENCENT-CN,,,,FALSE,,,,,
134.175.200.62,patched,CN,20,42,TENCENT-CN,CN,,,FALSE,,,,,
148.70.165.164,patched,CN,20,42,TENCENT-CN,CN,,"[u'CVE-2018-15919', u'CVE-2017-15906']",FALSE,,,,,
123.206.210.167,vulnerable,CN,26,41,TencentCloud,,,,FALSE,,,,,
129.204.164.219,vulnerable,CN,21,41,TENCENT-CN,CN,,,FALSE,,,,,
154.8.159.112,patched,CN,21,41,TENCENT-CN,CN,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",FALSE,,,,,
47.102.41.189,vulnerable,CN,1,41,ALISOFT,CN,,"[u'CVE-2018-10549', u'CVE-2014-5459', u'CVE-2018-10545', u'CVE-2014-0118', u'CVE-2018-10546', u'CVE-2017-9798', u'CVE-2014-3523', u'CVE-2015-0231', u'CVE-2015-3185', u'CVE-2015-3184', u'CVE-2018-10548', u'CVE-2018-10547', u'CVE-2015-4148', u'CVE-2015-8935', u'CVE-2018-20783', u'CVE-2015-4147', u'CVE-2015-2348', u'CVE-2015-8838', u'CVE-2016-4073', u'CVE-2016-4072', u'CVE-2016-4071', u'CVE-2015-8835', u'CVE-2015-0232', u'CVE-2016-4975', u'CVE-2018-1312', u'CVE-2016-5116', u'CVE-2015-2783', u'CVE-2015-2787', u'CVE-2015-6831', u'CVE-2015-6832', u'CVE-2015-6833', u'CVE-2015-6834', u'CVE-2015-6835', u'CVE-2015-6836', u'CVE-2015-6837', u'CVE-2015-6838', u'CVE-2018-19520', u'CVE-2018-19396', u'CVE-2016-7478', u'CVE-2015-3412', u'CVE-2014-0207', u'CVE-2018-17082', u'CVE-2019-9639', u'CVE-2019-9638', u'CVE-2019-9637', u'CVE-2018-14883', u'CVE-2015-4600', u'CVE-2015-4603', u'CVE-2015-4602', u'CVE-2015-4605', u'CVE-2015-4604', u'CVE-2017-9788', u'CVE-2014-3597', u'CVE-2014-4670', u'CVE-2014-9912', u'CVE-2014-0237', u'CVE-2014-3981', u'CVE-2014-9652', u'CVE-2014-0226', u'CVE-2014-0231', u'CVE-2014-8142', u'CVE-2019-0220', u'CVE-2014-0117', u'CVE-2014-3515', u'CVE-2014-0238', u'CVE-2014-5120', u'CVE-2019-9023', u'CVE-2019-9020', u'CVE-2019-9021', u'CVE-2019-9024', u'CVE-2014-3587', u'CVE-2016-0736', u'CVE-2014-9705', u'CVE-2016-3185', u'CVE-2015-5589', u'CVE-2015-0273', u'CVE-2015-4599', u'CVE-2014-3669', u'CVE-2014-3668', u'CVE-2018-19935', u'CVE-2017-15710', u'CVE-2015-4598', u'CVE-2017-7679', u'CVE-2017-15715', u'CVE-2015-3307', u'CVE-2018-17199', u'CVE-2019-6977', u'CVE-2014-3478', u'CVE-2015-8873', u'CVE-2015-5590', u'CVE-2014-9653', u'CVE-2015-4021', u'CVE-2015-4022', u'CVE-2015-4025', u'CVE-2015-4024', u'CVE-2015-4026', u'CVE-2014-9427', u'CVE-2014-3670', u'CVE-2015-8994', u'CVE-2019-9641', u'CVE-2016-8743', u'CVE-2018-15132', u'CVE-2016-3171', u'CVE-2014-3487', u'CVE-2014-3480', u'CVE-2014-4721', u'CVE-2014-9767', u'CVE-2015-2331', u'CVE-2016-8612', u'CVE-2014-4698', u'CVE-2015-3329', u'CVE-2015-3411', u'CVE-2018-19395', u'CVE-2014-8109', u'CVE-2015-4644', u'CVE-2015-4642', u'CVE-2016-2161', u'CVE-2014-3479', u'CVE-2018-1283', u'CVE-2015-3330', u'CVE-2017-16642']",FALSE,,,,,
47.107.81.33,patched,CN,1,41,ALISOFT,CN,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",FALSE,,,,,
120.79.103.187,patched,CN,1,41,ALISOFT,,,,FALSE,,,,,
39.104.123.202,patched,CN,1,41,ALISOFT,CN,,,FALSE,,,,,
39.100.53.199,patched,CN,1,41,ALISOFT,,,,FALSE,,,,,
118.89.110.133,vulnerable,CN,27,40,TencentCloud,CN,,,FALSE,,,,,
140.143.145.105,patched,CN,27,40,TencentCloud,,,,FALSE,,,,,
148.70.142.189,vulnerable,CN,22,40,TENCENT-CN,CN,,[u'CVE-2019-0708'],TRUE,,,,,
121.41.23.41,vulnerable,CN,2,40,ALISOFT,CN,,"[u'CVE-2018-10549', u'CVE-2014-5459', u'CVE-2018-10545', u'CVE-2014-0118', u'CVE-2018-10546', u'CVE-2017-9798', u'CVE-2014-3523', u'CVE-2015-0231', u'CVE-2015-3185', u'CVE-2015-3184', u'CVE-2018-10548', u'CVE-2018-10547', u'CVE-2015-4148', u'CVE-2015-8935', u'CVE-2018-20783', u'CVE-2015-4147', u'CVE-2015-2348', u'CVE-2015-8838', u'CVE-2016-4073', u'CVE-2016-4072', u'CVE-2016-4071', u'CVE-2015-8835', u'CVE-2015-0232', u'CVE-2016-4975', u'CVE-2018-1312', u'CVE-2016-5116', u'CVE-2015-2783', u'CVE-2015-2787', u'CVE-2015-6831', u'CVE-2015-6832', u'CVE-2015-6833', u'CVE-2015-6834', u'CVE-2015-6835', u'CVE-2015-6836', u'CVE-2015-6837', u'CVE-2015-6838', u'CVE-2018-19520', u'CVE-2018-19396', u'CVE-2016-7478', u'CVE-2015-3412', u'CVE-2014-0207', u'CVE-2018-17082', u'CVE-2019-9639', u'CVE-2019-9638', u'CVE-2019-9637', u'CVE-2018-14883', u'CVE-2015-4600', u'CVE-2015-4603', u'CVE-2015-4602', u'CVE-2015-4605', u'CVE-2015-4604', u'CVE-2017-9788', u'CVE-2014-3597', u'CVE-2014-4670', u'CVE-2014-9912', u'CVE-2014-0237', u'CVE-2014-3981', u'CVE-2014-9652', u'CVE-2014-0226', u'CVE-2014-0231', u'CVE-2014-8142', u'CVE-2019-0220', u'CVE-2014-0117', u'CVE-2014-3515', u'CVE-2014-0238', u'CVE-2014-5120', u'CVE-2019-9023', u'CVE-2019-9020', u'CVE-2019-9021', u'CVE-2019-9024', u'CVE-2014-3587', u'CVE-2016-0736', u'CVE-2014-9705', u'CVE-2016-3185', u'CVE-2015-5589', u'CVE-2015-0273', u'CVE-2015-4599', u'CVE-2014-3669', u'CVE-2014-3668', u'CVE-2018-19935', u'CVE-2017-15710', u'CVE-2015-4598', u'CVE-2017-7679', u'CVE-2017-15715', u'CVE-2015-3307', u'CVE-2018-17199', u'CVE-2019-6977', u'CVE-2014-3478', u'CVE-2015-8873', u'CVE-2015-5590', u'CVE-2014-9653', u'CVE-2015-4021', u'CVE-2015-4022', u'CVE-2015-4025', u'CVE-2015-4024', u'CVE-2015-4026', u'CVE-2014-9427', u'CVE-2014-3670', u'CVE-2015-8994', u'CVE-2019-9641', u'CVE-2016-8743', u'CVE-2018-15132', u'CVE-2016-3171', u'CVE-2014-3487', u'CVE-2014-3480', u'CVE-2014-4721', u'CVE-2014-9767', u'CVE-2015-2331', u'CVE-2016-8612', u'CVE-2014-4698', u'CVE-2015-3329', u'CVE-2015-3411', u'CVE-2018-19395', u'CVE-2014-8109', u'CVE-2015-4644', u'CVE-2015-4642', u'CVE-2016-2161', u'CVE-2014-3479', u'CVE-2018-1283', u'CVE-2015-3330', u'CVE-2017-16642']",FALSE,,,,,
39.106.26.194,patched,CN,2,40,ALISOFT,CN,,"[u'CVE-2010-1899', u'CVE-2010-2730', u'CVE-2010-3972', u'CVE-2012-2531', u'CVE-2012-2532', u'CVE-2010-1256']",FALSE,,,,,
106.54.60.220,vulnerable,CN,28,39,TencentCloud,CN,,,FALSE,,,,,
188.131.206.232,vulnerable,CN,23,39,TENCENT-CN,CN,,,FALSE,,,,,
39.107.252.162,vulnerable,CN,3,39,ALISOFT,,,,FALSE,,,,,
47.93.126.235,patched,CN,3,39,ALISOFT,CN,,"[u'CVE-2018-10549', u'CVE-2014-5459', u'CVE-2018-10545', u'CVE-2018-10547', u'CVE-2018-10546', u'CVE-2011-0755', u'CVE-2014-3583', u'CVE-2017-9788', u'CVE-2015-3185', u'CVE-2013-1635', u'CVE-2019-9638', u'CVE-2011-4885', u'CVE-2016-0736', u'CVE-2017-9798', u'CVE-2018-17082', u'CVE-2018-1312', u'CVE-2018-1283', u'CVE-2018-10548', u'CVE-2018-19520', u'CVE-2018-19396', u'CVE-2016-7478', u'CVE-2012-2376', u'CVE-2011-1092', u'CVE-2012-2143', u'CVE-2019-9023', u'CVE-2012-2336', u'CVE-2014-2497', u'CVE-2016-4975', u'CVE-2012-1171', u'CVE-2019-9639', u'CVE-2013-4635', u'CVE-2011-0708', u'CVE-2011-1468', u'CVE-2011-1469', u'CVE-2011-0421', u'CVE-2017-15715', u'CVE-2012-2688', u'CVE-2017-7668', u'CVE-2013-4248', u'CVE-2019-9637', u'CVE-2011-1467', u'CVE-2011-1464', u'CVE-2017-16642', u'CVE-2017-7679', u'CVE-2013-2110', u'CVE-2018-20783', u'CVE-2016-8743', u'CVE-2011-1466', u'CVE-2015-3184', u'CVE-2018-14883', u'CVE-2018-19395', u'CVE-2019-6977', u'CVE-2017-15710', u'CVE-2014-8109', u'CVE-2012-0057', u'CVE-2019-9641', u'CVE-2017-3167', u'CVE-2012-2386', u'CVE-2006-7243', u'CVE-2016-8612', u'CVE-2017-3169', u'CVE-2011-4718', u'CVE-2012-1172', u'CVE-2016-2161', u'CVE-2012-2311', u'CVE-2014-0237', u'CVE-2015-8994', u'CVE-2012-1823', u'CVE-2018-19935', u'CVE-2010-4699', u'CVE-2014-9427', u'CVE-2019-0220', u'CVE-2014-0238', u'CVE-2010-3870', u'CVE-2019-9020', u'CVE-2019-9021', u'CVE-2012-0789', u'CVE-2012-0788', u'CVE-2019-9024', u'CVE-2012-3365', u'CVE-2011-1470', u'CVE-2018-17199', u'CVE-2018-15132', u'CVE-2013-1643']",FALSE,,,,,
106.54.246.167,vulnerable,CN,29,38,TencentCloud,CN,,,FALSE,,,,,
154.8.201.56,vulnerable,CN,24,38,TENCENT-CN,CN,,,FALSE,,,,,
129.28.200.224,patched,CN,24,38,TENCENT-CN,CN,,,FALSE,,,,,
148.70.46.173,patched,CN,24,38,TENCENT-CN,CN,,,FALSE,,,,,
47.98.59.113,vulnerable,CN,4,38,ALISOFT,,,,FALSE,,,,,
118.31.41.118,patched,CN,4,38,ALISOFT,CN,,,FALSE,,,,,
39.108.248.108,patched,CN,4,38,ALISOFT,CN,,,FALSE,,,,,
47.93.27.249,patched,CN,4,38,ALISOFT,CN,,,FALSE,,,,,
